Unidad / Eje temático,Resultado de aprendizaje específico,Indicadores de logro,Estrategia de enseñanza-aprendizaje,Evidencia / evaluación,Ponderación sugerida
1. Biomecánica y biofísica aplicada,"Explicar los principios básicos de biomecánica y biofísica aplicados al movimiento humano, la estabilidad, la carga y la respuesta tisular.","Define conceptos de palanca, torque, centro de gravedad, cadenas cinéticas y transferencia de energía. Relaciona movimiento, alineación y función. Distingue efectos físicos de calor, frío, ultrasonido y corriente eléctrica sobre tejidos.","Clases dialogadas, resolución de problemas, análisis de movimiento, discusión de casos funcionales.","Prueba escrita 1 con preguntas de selección múltiple, casos cortos y preguntas de desarrollo breve.","10,00 %"
1. Biomecánica y biofísica aplicada,Analizar la relación entre alteración biomecánica y limitación funcional en casos simples del sistema neuro-músculo-esquelético.,"Identifica alteraciones biomecánicas básicas en marcha, columna y extremidades. Relaciona una alteración mecánica con dolor, ineficiencia o limitación funcional. Propone una interpretación funcional coherente.","Taller de análisis biomecánico, observación de videos, trabajo en grupo con casos.",Taller evaluado 1 de análisis funcional y biomecánico.,"10,00 %"
2. Terapias en rehabilitación,"Distinguir los fundamentos fisiológicos, indicaciones, contraindicaciones y limitaciones de las principales terapias utilizadas en rehabilitación.","Diferencia ejercicio terapéutico, terapia manual y medios físicos según su mecanismo general de acción. Reconoce indicaciones razonables y situaciones de precaución o contraindicación.","Clases expositivas, seminarios, análisis de guías, demostraciones.",Prueba escrita 1 o control teórico integrado.,"10,00 %"
2. Terapias en rehabilitación,Seleccionar teóricamente una modalidad terapéutica básica de rehabilitación de acuerdo con un objetivo funcional y un caso clínico dado.,"Justifica elección de ejercicio, medio físico o terapia manual según dolor, movilidad, fuerza o función. Evita indicaciones inespecíficas. Explica objetivo terapéutico esperado.","Taller de prescripción razonada, análisis de casos, discusión dirigida.",Taller evaluado 2 de indicación de terapias en rehabilitación.,"10,00 %"
"3. Ortesis, prótesis y ayudas técnicas","Diferenciar los fundamentos, objetivos funcionales y criterios generales de indicación de ortesis, prótesis y ayudas técnicas.","Define cada dispositivo correctamente. Diferencia control, protección, alineación, asistencia y sustitución funcional. Identifica ejemplos frecuentes de uso clínico.","Clases dialogadas, demostración de dispositivos, revisión de casos.",Prueba escrita 2.,"10,00 %"
"3. Ortesis, prótesis y ayudas técnicas","Reconocer los componentes mínimos de una prescripción inicial de ortesis, prótesis o ayuda técnica según necesidad funcional.","Identifica objetivo funcional, segmento corporal, tipo de dispositivo, indicación general y aspectos de seguimiento. Relaciona dispositivo con funcionalidad esperada.","Taller de prescripción, estaciones prácticas, trabajo con fichas clínicas simuladas.",Taller evaluado 3 o estación práctica tipo ECOE.,"10,00 %"
"3. Ortesis, prótesis y ayudas técnicas","Relacionar el uso de dispositivos con la participación, seguridad, prevención de complicaciones y autonomía del paciente.","Explica impacto funcional del dispositivo sobre movilidad, autocuidado, descarga, posicionamiento o prevención de deformidad. Integra contexto clínico y funcional.","Discusión de casos, aprendizaje basado en problemas, análisis interdisciplinario.",Caso clínico integrador parcial.,"10,00 %"
4. Imagenología general con enfoque neuro-músculo-esquelético,"Reconocer la utilidad, alcance y limitaciones de radiografía, tomografía computarizada, resonancia magnética y ecografía en rehabilitación.",Distingue indicaciones generales de cada modalidad. Identifica qué estructuras o problemas suelen estudiarse mejor con cada examen. Reconoce limitaciones e incidentalomas.,"Clases aplicadas, revisión de imágenes, lectura guiada de informes.",Prueba escrita 2.,"10,00 %"
4. Imagenología general con enfoque neuro-músculo-esquelético,Interpretar de manera general hallazgos imagenológicos frecuentes en contexto neuro-músculo-esquelético y relacionarlos con la clínica funcional.,"Describe hallazgos generales relevantes en columna, artrosis, lesión musculotendínea o neuropatía. Evita sobreinterpretar hallazgos no correlacionados con clínica.","Taller de imágenes, aprendizaje basado en casos, discusión clínico-radiológica.",Taller evaluado 4 de integración imagenológica.,"5,00 %"
5. Fundamentos teóricos del estudio electrodiagnóstico,"Describir los fundamentos fisiológicos y técnicos del estudio electrodiagnóstico, incluyendo conducción nerviosa y electromiografía.","Explica objetivo del estudio. Diferencia conducción nerviosa motora, sensitiva y electromiografía con aguja. Describe de forma general onda F y reflejo H.","Clases teóricas, demostración guiada, revisión de esquemas fisiológicos.",Prueba escrita 3.,"10,00 %"
5. Fundamentos teóricos del estudio electrodiagnóstico,"Relacionar el estudio electrodiagnóstico con preguntas clínicas frecuentes en neuropatía, radiculopatía, plexopatía, miopatía o trastornos de unión neuromuscular.",Reconoce qué tipo de problema clínico puede orientar el examen. Identifica límites temporales y diagnósticos del estudio. Distingue cuándo complementa y cuándo no reemplaza la clínica.,"Taller de lectura básica de informes, integración con casos clínicos.",Taller evaluado 5 o prueba de casos.,"5,00 %"
Integración final del curso,"Integrar bases biomecánicas, terapéuticas, tecnológicas e interpretativas para fundamentar una recomendación rehabilitadora inicial en un caso clínico.",Analiza el problema funcional. Selecciona terapias o dispositivos acordes. Interpreta estudios complementarios de forma básica. Comunica una propuesta razonada y técnicamente adecuada.,"Seminario integrador, presentación de casos, discusión interdisciplinaria.","Evaluación integradora final: caso clínico escrito, oral o ECOE.","10,00 %"
