Clase,Unidad / eje temático,Tema central,Resultado de aprendizaje de la clase,Contenidos específicos,Actividad de aprendizaje,Lectura base sugerida,Producto / evaluación
1,Biomecánica y biofísica aplicada,Introducción a la biomecánica en rehabilitación,Explica la relevancia de la biomecánica y la biofísica en el análisis funcional y en la toma de decisiones en rehabilitación.,"Concepto de rehabilitación desde la función; biomecánica clínica; biofísica aplicada; relación entre estructura, movimiento y desempeño funcional.",Clase expositiva dialogada. Análisis inicial de casos funcionales simples.,"Braddom: caps. 15, 17",Diagnóstico inicial del curso. Participación en discusión guiada.
2,Biomecánica y biofísica aplicada,Principios biomecánicos del movimiento humano,Analiza principios biomecánicos básicos involucrados en el movimiento humano normal y patológico.,Planos y ejes; cinemática y cinética; palancas; torque; centro de gravedad; equilibrio; cadenas cinéticas.,"Taller aplicado con ejemplos de extremidad superior, extremidad inferior y tronco.","Braddom: caps. 11, 13, 15",Resolución de ejercicios biomecánicos básicos.
3,Biomecánica y biofísica aplicada,Biomecánica de la columna y marcha,"Relaciona alineación, estabilidad y marcha con problemas funcionales frecuentes en rehabilitación.","Biomecánica de columna cervical, dorsal y lumbar; postura; estabilidad; marcha normal; fases de la marcha; compensaciones.",Observación guiada de marcha y análisis clínico básico.,"Braddom: caps. 10, 13, 33",Taller de análisis biomecánico de marcha/postura.
4,Terapias en rehabilitación,Fundamentos del ejercicio terapéutico,Describe el rol del ejercicio terapéutico como herramienta central de rehabilitación.,Fisiología muscular; fuerza; resistencia; flexibilidad; acondicionamiento; principios generales del ejercicio terapéutico.,Clase expositiva + resolución de casos clínicos breves.,Braddom: cap. 15,Cuestionario corto de integración.
5,Terapias en rehabilitación,Prescripción básica de ejercicio en rehabilitación,Formula una prescripción inicial de ejercicio de acuerdo con objetivos funcionales generales.,"Dosificación; frecuencia, intensidad, tiempo y tipo; objetivos por déficit funcional; seguridad; progresión del ejercicio.",Taller de diseño de prescripción básica de ejercicio.,Braddom: cap. 15,Entrega de pauta de prescripción básica.
6,Terapias en rehabilitación,Terapias manuales y abordajes físicos,"Explica los fundamentos, indicaciones y limitaciones de terapias manuales y tracción en rehabilitación.",Terapia manual; masaje; movilización; manipulación; tracción; bases fisiológicas; indicaciones y contraindicaciones.,Clase dialogada con análisis comparado de indicaciones.,Braddom: cap. 16,Control de lectura / participación guiada.
7,Terapias en rehabilitación,Medios físicos en rehabilitación,"Distingue mecanismos de acción, indicaciones y limitaciones de los principales medios físicos usados en rehabilitación.",Crioterapia; termoterapia superficial y profunda; ultrasonido; electroterapia; láser; ondas de choque; seguridad clínica.,Taller de indicación razonada por caso clínico.,Braddom: cap. 17,Matriz comparativa de medios físicos.
8,Integración y evaluación parcial,Integración de biomecánica y terapias,Integra principios biomecánicos y terapéuticos en el razonamiento rehabilitador inicial.,Revisión integrada de clases 1 a 7; selección razonada de terapias según objetivo funcional.,Seminario corto + evaluación parcial.,"Braddom: caps. 11, 13, 15, 16, 17, 33",Prueba parcial 1
9,"Ortesis, prótesis y ayudas técnicas",Fundamentos de ortesis,Diferencia tipos de ortesis y explica sus objetivos funcionales y principios de indicación.,"Definición; clasificación; principios biomecánicos; ortesis estáticas y dinámicas; objetivos: protección, alineación, asistencia, corrección.",Clase expositiva + revisión de casos funcionales.,"Braddom: caps. 11, 12, 13",Taller de clasificación de ortesis.
10,"Ortesis, prótesis y ayudas técnicas",Ortesis de extremidades y columna,"Analiza la indicación general de ortesis de extremidad superior, inferior y columna según problema funcional.","Ortesis de mano, muñeca, codo, tobillo-pie, rodilla, tronco y columna; materiales; ajuste; criterios generales de prescripción.",Taller de prescripción inicial basada en casos.,"Braddom: caps. 11, 12, 13",Ficha de indicación ortésica.
11,"Ortesis, prótesis y ayudas técnicas",Fundamentos de prótesis,Describe los principios generales de la prescripción protésica y sus componentes funcionales.,Amputación y rehabilitación; niveles de amputación; componentes protésicos; encaje; suspensión; alineación; metas funcionales.,Clase aplicada con análisis de videos o imágenes de prótesis.,"Braddom: caps. 9, 10",Ejercicio de correlación nivel de amputación-componente protésico.
12,"Ortesis, prótesis y ayudas técnicas","Ayudas técnicas, sillas de ruedas y tecnología de asistencia","Reconoce el rol de las ayudas técnicas y la tecnología de asistencia en autonomía, movilidad y participación.",Sillas de ruedas; sistemas de asiento; cojines; ayudas para marcha; tecnología de asistencia; proceso de indicación y entrenamiento.,Taller de selección de ayudas técnicas según caso.,"Braddom: caps. 14, 19",Taller evaluado de ayudas técnicas.
13,Imagenología general con enfoque neuro-músculo-esquelético,Fundamentos de imagenología aplicada a rehabilitación,"Reconoce la utilidad general de radiografía, tomografía computarizada, resonancia magnética y ecografía en patología neuro-músculo-esquelética.",Principios generales de imagen; indicaciones; fortalezas y limitaciones; correlación clínico-radiológica.,Clase expositiva + análisis de informes de imagen.,"Braddom: caps. 31, 33, 41, 43",Guía de interpretación general de estudios.
14,Imagenología general con enfoque neuro-músculo-esquelético,"Imagenología en columna, articular, muscular y nervio periférico",Relaciona hallazgos imagenológicos con cuadros clínicos frecuentes en rehabilitación.,"Imagen en artrosis, columna, lesiones músculo-tendíneas, neuropatías periféricas y neuroimagen básica en daño encefálico.",Taller de casos con discrepancia clínico-imagenológica.,"Braddom: caps. 31, 33, 41, 43",Taller de análisis clínico-imagenológico.
15,Fundamentos teóricos del estudio electrodiagnóstico,Bases fisiológicas y técnicas del electrodiagnóstico,Describe los fundamentos de la conducción nerviosa y de la electromiografía como apoyo al diagnóstico funcional.,Potencial de acción; conducción nerviosa motora y sensitiva; onda F; reflejo H; electromiografía; unidad motora.,Clase teórica + demostración conceptual de estudio electrodiagnóstico.,Braddom: cap. 8 y apéndice 8A,Cuestionario de integración electrodiagnóstica.
16,Fundamentos teóricos del estudio electrodiagnóstico e integración final,Interpretación general del electrodiagnóstico e integración del curso,"Integra biomecánica, terapias, dispositivos, imagenología y electrodiagnóstico en la resolución básica de un caso de rehabilitación.","Interpretación general de informes; mononeuropatía, radiculopatía, plexopatía, miopatía; correlación clínica; síntesis final del curso.",Discusión de caso integrador + evaluación final.,"Braddom: cap. 8, apéndice 8A, cap. 41",Evaluación final integradora
